comparison,city,population_method,difference_m,cells,allocated_population,F_cells,F_allocated_population
p90_minus_mean,Both,all,0.313832622041,1,138.780737246,0.3102364809,0.0964953736483
p90_minus_mean,Both,all,0.316805783099,1,106.556396117,0.310401852158,0.0965128487954
p90_minus_mean,Both,all,0.324541435674,1,833.171096168,0.310567223417,0.0966494880588
p90_minus_mean,Both,all,0.361524602395,1,96.763017934,0.310732594675,0.0966653571012
p90_minus_mean,Both,all,0.367495658252,1,3324.00168611,0.310897965934,0.0972104902005
p90_minus_mean,Both,all,0.367534585801,1,174.574901627,0.311063337192,0.0972391203175
p90_minus_mean,Both,all,0.373282758164,1,1520.81839348,0.31122870845,0.0974885330803
p90_minus_mean,Both,all,0.374346512649,1,99.6364821589,0.311394079709,0.0975048733681
p90_minus_mean,Both,all,0.375848647324,1,1447.82953595,0.311559450967,0.0977423160281
p90_minus_mean,Both,all,0.382542388409,1,1285.8511361,0.311724822226,0.0979531943853
p90_minus_mean,Both,all,0.392979165767,1,1776.41396584,0.311890193484,0.0982445245777
p90_minus_mean,Both,all,0.415458418396,1,2168.96058422,0.312055564743,0.0986002320403
p90_minus_mean,Both,all,0.416476579493,1,274.81586875,0.312220936001,0.0986453015801
p90_minus_mean,Both,all,0.427844224929,1,712.494838411,0.31238630726,0.0987621500526
p90_minus_mean,Both,all,0.430454664768,1,1078.8284447,0.312551678518,0.0989390768863
p90_minus_mean,Both,all,0.431287636585,1,4352.7379219,0.312717049777,0.0996529217449
p90_minus_mean,Both,all,0.436314201861,1,1575.46201416,0.312882421035,0.0999112960093
p90_minus_mean,Both,all,0.493384358323,1,59.5531463885,0.313047792294,0.0999210626684
p90_minus_mean,Both,all,0.497742124498,1,330.189304721,0.313213163552,0.0999752133987
p90_minus_mean,Both,all,0.507784045822,1,2008.48804086,0.313378534811,0.100304603518
p90_minus_mean,Both,all,0.52842180317,1,4.8919959937,0.313543906069,0.1003054058
p90_minus_mean,Both,all,0.53335867197,1,203.75706247,0.313709277328,0.100338821764
p90_minus_mean,Both,all,0.538355633029,1,171.859064719,0.313874648586,0.100367006486
p90_minus_mean,Both,all,0.541874266995,1,1088.75003035,0.314040019845,0.10054556045
p90_minus_mean,Both,all,0.564901924396,1,622.809670626,0.314205391103,0.100647700641
p90_minus_mean,Both,all,0.57732745743,1,77.1373265006,0.314370762362,0.100660351089
p90_minus_mean,Both,all,0.602904436636,1,272.665952911,0.31453613362,0.100705068045
p90_minus_mean,Both,all,0.645142602795,1,141.341445272,0.314701504878,0.100728247906
p90_minus_mean,Both,all,0.660180076155,1,334.402602444,0.314866876137,0.100783089614
p90_minus_mean,Both,all,0.661874172303,1,3865.07006154,0.315032247395,0.101416957409
p90_minus_mean,Both,all,0.663514016597,1,6.77135695119,0.315197618654,0.101418067905
p90_minus_mean,Both,all,0.685084003958,1,2871.8163167,0.315362989912,0.101889043036
p90_minus_mean,Both,all,0.693382287138,1,88.4272137671,0.315528361171,0.101903545015
p90_minus_mean,Both,all,0.698804175489,1,42.8049924296,0.315693732429,0.101910564993
p90_minus_mean,Both,all,0.699102853742,1,6.09794373204,0.315859103688,0.10191156505
p90_minus_mean,Both,all,0.71369252919,1,4.10642752519,0.316024474946,0.1019122385
p90_minus_mean,Both,all,0.71586913701,1,10.0102255332,0.316189846205,0.101913880167
p90_minus_mean,Both,all,0.718744313559,1,30.3189221375,0.316355217463,0.101918852441
p90_minus_mean,Both,all,0.732633465201,1,1225.30355722,0.316520588722,0.102119801054
p90_minus_mean,Both,all,0.747809190898,1,81.6670135707,0.31668595998,0.102133194366
p90_minus_mean,Both,all,0.756901123934,1,12.7463655575,0.316851331239,0.102135284757
p90_minus_mean,Both,all,0.793557627377,1,512.864406045,0.317016702497,0.10221939403
p90_minus_mean,Both,all,0.800544884857,1,624.444614363,0.317182073756,0.10232180235
p90_minus_mean,Both,all,0.803914445292,1,494.339332186,0.317347445014,0.102402873528
p90_minus_mean,Both,all,0.808655370783,1,33.6849125817,0.317512816273,0.102408397821
p90_minus_mean,Both,all,0.80909977093,1,2489.1569724,0.317678187531,0.102816617185
p90_minus_mean,Both,all,0.817154554996,1,43.1694568434,0.317843558789,0.102823696935
p90_minus_mean,Both,all,0.823577399919,1,9.98223886045,0.318008930048,0.102825334013
p90_minus_mean,Both,all,0.843109764075,1,18.4493891068,0.318174301306,0.102828359695
p90_minus_mean,Both,all,0.858654733428,1,602.087014837,0.318339672565,0.10292710139
